Trial,Final Generation,Final Best Fitness,Final Avg Fitness,Final Avg Cost,Final Front Size,Max Fitness,Fitness Improvement
confirm_trial0,9,41.26984126984127,0.34078444386151907,11.35,6,41.26984126984127,18.091329427668008
low_trial0,4,38.095238095238095,0.3727737751290953,14.3,4,38.095238095238095,6.231103552532133
low_trial1,4,35.714285714285715,0.2489359743174131,11.0,4,35.714285714285715,8.301587301587304
