Trial Type,Folder,Run,Final Generation,Final Best Fitness,Final Avg Fitness,Final Avg Cost,Final Front Size,Max Fitness,Fitness Improvement
HPO,HPO_hpo_ckpts_full_2,high_from2_seed200069,9,83.33333333333334,0.475,4.45,29,83.33333333333334,30.288970365927185
HPO,HPO_hpo_ckpts_full_2,high_from3_seed100096,9,83.33333333333334,0.45370193861110486,4.2,10,83.33333333333334,9.523809523809533
HPO,HPO_hpo_ckpts_full_2,low_t0_seed10123,4,83.33333333333334,0.6724459385798862,8.6,2,83.33333333333334,0.0
HPO,HPO_hpo_ckpts_full_2,low_t1_seed20123,4,83.33333333333334,0.8026751450245426,8.0,2,83.33333333333334,4.761904761904773
HPO,HPO_hpo_ckpts_full_2,low_t2_seed30123,4,83.33333333333334,0.7391790539185455,10.6,3,83.33333333333334,21.161048689138582
HPO,HPO_hpo_ckpts_full_2,low_t3_seed40123,4,73.80952380952381,0.6570476596006634,9.8,4,73.80952380952381,7.142857142857139
Time Penalty,Time_Penalty_Trials,confirm_trial0,9,41.26984126984127,0.34078444386151907,11.35,6,41.26984126984127,18.091329427668008
Time Penalty,Time_Penalty_Trials,low_trial0,4,38.095238095238095,0.3727737751290953,14.3,4,38.095238095238095,6.231103552532133
Time Penalty,Time_Penalty_Trials,low_trial1,4,35.714285714285715,0.2489359743174131,11.0,4,35.714285714285715,8.301587301587304
